countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
ES,2015,29319969000.0,-3.6446309651200495,544280000.0,419605.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,,
ES,2016,29910870000.0,-3.740383308125872,504460000.0,394800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,Spain strengthened minority investor protections by requiring that major sales of company assets be subject to shareholder approval.,True
ES,2017,29233207000.0,-3.1330383278663794,624023000.0,404819.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,,
ES,2018,34621677000.0,-3.220855357829157,325661000.0,409236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,,
ES,2019,35584035000.0,-0.662077627111003,3320018000.0,375578.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,,
FI,1995,351125934.0,-0.3296631855426079,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,1996,427062783.0,-0.3296631855426079,0.0,7362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,1997,508701202.0,-0.3296631855426079,0.0,7922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,1998,646346201.0,-0.3296631855426079,0.0,9068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,1999,778000000.0,-0.3296631855426079,0.0,9512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2000,2168000000.0,-0.3296631855426079,0.0,11271.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2001,1081000000.0,-0.3296631855426079,0.0,10068.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2002,3846706000.0,-0.40298521743219046,120000000.0,57000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2003,3760587000.0,0.24128507201673757,115842000.0,58923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2004,3841552000.0,-2.543743313797736,64000000.0,55630.0,1,1,0,0,0,2,0,2,0,0,1,1,0,0,2,,,
FI,2005,3699843000.0,-0.1365294106313602,83254000.0,53382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
FI,2006,4103977000.0,-0.404635971047663,78052000.0,47041.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,56.666666666667,,
FI,2007,4450562000.0,-0.7627497338894388,89612000.0,44243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.666666666667,,
FI,2008,4218502000.0,-0.39123064302684785,96541000.0,48454.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,56.666666666667,,
FI,2009,3715192000.0,-0.17291530097357258,96686000.0,45974.0,1,1,0,0,0,2,0,2,0,0,1,1,0,1,1,56.666666666667,,
FI,2010,4544864000.0,-0.25389752030362106,156082000.0,55771.0,2,0,0,0,0,2,0,2,1,0,1,0,0,1,1,56.666666666667,,
FI,2011,5252090000.0,-0.5586650966647152,169469000.0,58514.0,1,0,0,1,0,1,1,2,0,1,0,1,0,1,1,56.666666666667,,
FI,2012,4615050000.0,-0.08373347535583572,163414000.0,57456.0,0,3,0,0,0,3,0,3,0,3,0,0,0,3,0,56.666666666667,,
FI,2013,4221763000.0,-0.12969459999863053,154155000.0,55685.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,56.666666666667,,
FI,2014,4018017000.0,-0.2197018024241038,143455000.0,51225.0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,62.0,,
FI,2015,3668801000.0,-0.5165340657421531,165865000.0,51409.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,62.0,,
