countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,"Deal value
m EUR",Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Total deal value for Acquired stake (%)0_10,Total deal value for Acquired stake (%)_10_20,Total deal value for Acquired stake (%)_20_30,Total deal value for Acquired stake (%)_30_40,Total deal value for Acquired stake (%)_40_50,Total deal value for Acquired stake (%)_0_25,Total deal value for Acquired stake (%)_25_50,Total deal value for Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
FR,2017,27162385000.0,1.6499049756874853,3900950000.0,594367.0,157.4,0,1,0,0,0,1,0,1,0.0,157.4,0.0,0.0,0.0,157.4,0.0,157.4,0,1,0,0,0,1,0,68.0,,
GB,1995,42823706.0,-0.7046227848217945,0.0,351.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,1996,53330086.0,-1.174371308036324,0.0,9642.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,1997,131708675.0,-1.409245569643589,0.0,11312.0,137.1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,137.1,0.0,0.0,137.1,137.1,0,0,0,0,1,0,1,,,
GB,1998,134803080.0,-1.6441198312508538,0.0,15019.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,1999,193831233.0,-1.6441198312508538,0.0,15377.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,2000,112741139.0,-2.348742616072648,0.0,14667.0,5.35,1,0,0,0,0,1,0,1,5.35,0.0,0.0,0.0,0.0,5.35,0.0,5.35,0,1,0,0,0,1,0,,,
GB,2001,119258175.0,-0.6062304149860185,1252356.0,13607.0,18.91,2,0,0,0,0,2,0,2,18.91,0.0,0.0,0.0,0.0,18.91,0.0,18.91,2,0,0,0,0,2,0,,,
GB,2002,88342382.0,-0.8198093676717941,1483156.0,6879.0,11.89,2,0,0,0,0,2,0,2,11.89,0.0,0.0,0.0,0.0,11.89,0.0,11.89,1,1,0,0,0,2,0,,,
GB,2003,147236815.0,0.543939159801527,3363221.0,6071.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,2004,2969494547.0,3.5011327259110505,4285692.0,52942.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,
GB,2005,3991746666.0,4.717436466731867,1634731.0,76130.0,7.1,2,0,0,0,0,2,0,2,7.1,0.0,0.0,0.0,0.0,7.1,0.0,7.1,0,2,0,0,0,2,0,,,
GB,2006,4689346533.0,-8.209631644003597,1612181.0,155830.0,1390.93,1,1,0,0,0,2,0,2,6.28,1384.65,0.0,0.0,0.0,1390.93,0.0,1390.93,0,1,0,1,0,1,1,80.0,,
GB,2007,4092430418.0,-3.0178993844533557,1619305.0,148180.0,1.7799999999999998,2,0,0,0,0,2,0,2,1.7799999999999998,0.0,0.0,0.0,0.0,1.7799999999999998,0.0,1.7799999999999998,2,0,0,0,0,2,0,80.0,,
