countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
KR,2002,62189293817.0,-28.29692671869266,5003273160.0,511027.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,,,
KR,2003,55270447602.0,1.4564210099441066,4860033943.0,476835.0,10,0,0,0,1,5,1,6,2,1,1,1,1,3,3,,,
KR,2004,77482597390.0,-64.77448146692923,6849962528.0,491752.0,6,4,0,1,0,7,1,8,0,4,2,1,1,6,2,,,
KR,2005,95053118357.0,-31.504454127225372,9483708743.0,550184.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,,,
KR,2006,86214099281.0,-3.7103754945217093,9610001497.0,556975.0,30,0,0,1,2,12,3,15,6,4,1,2,2,11,4,60.0,,
KR,2007,91618411361.0,50.13862495752858,9885998850.0,544241.0,85,13,5,3,3,55,7,62,19,18,11,11,3,47,15,60.0,,
KR,2008,93441177786.0,87.3895185193894,9523102143.0,610204.0,49,17,5,3,3,50,8,58,18,16,10,9,5,39,19,60.0,,
KR,2009,93595957999.0,82.19314599387558,10419152138.0,603856.0,77,12,7,4,5,50,13,63,19,14,11,11,8,38,25,60.0,,
KR,2010,136315873595.0,83.53772286504565,19588905683.0,658976.0,67,11,3,6,4,49,10,59,18,10,8,13,10,34,25,60.0,,
KR,2011,124218832448.0,35.247026248258585,20768459265.0,670328.0,100,7,4,5,6,51,12,63,11,6,17,17,12,23,40,60.0,,
KR,2012,120882326440.0,52.25960693509039,25038407758.0,685100.0,102,11,0,1,4,53,5,58,13,12,8,12,13,30,28,60.0,,
